model,noise_type,strength,acc_test
RandomForest,gaussian_feature,0.0,0.9236390208257216
MLP,gaussian_feature,0.0,0.9265619291194739
XGBoost,gaussian_feature,0.0,0.9207161125319693
RandomForest,gaussian_feature,0.01,0.9145049324077457
MLP,gaussian_feature,0.01,0.917062477164779
XGBoost,gaussian_feature,0.01,0.9123127511874315
RandomForest,gaussian_feature,0.05,0.9042747533796127
MLP,gaussian_feature,0.05,0.9061015710632079
XGBoost,gaussian_feature,0.05,0.9046401169163317
RandomForest,gaussian_feature,0.1,0.9035440263061747
MLP,gaussian_feature,0.1,0.9017172086225794
XGBoost,gaussian_feature,0.1,0.9006211180124224
RandomForest,label_flip,0.01,0.9243697478991597
MLP,label_flip,0.01,0.9269272926561929
XGBoost,label_flip,0.01,0.9261965655827549
RandomForest,label_flip,0.05,0.9218122031421264
MLP,label_flip,0.05,0.9313116550968213
XGBoost,label_flip,0.05,0.9240043843624406
RandomForest,label_flip,0.1,0.9199853854585313
MLP,label_flip,0.1,0.9291194738765072
XGBoost,label_flip,0.1,0.917427840701498
